Eastern Conference
1,Cleveland Cavaliers,20,3,.870,-,13-1,7-2,5-0,15-3,122.0,111.4,+10.6,W3,7-3
2,Boston Celtics,19,4,.826,1,10-2,9-2,4-0,17-3,120.1,110.0,+10.1,W3,9-1
3,Orlando Magic,16,9,.640,5,9-0,7-9,4-0,13-5,107.3,103.0,+4.3,L1,7-3
4,New York Knicks,14,8,.636,5.5,8-2,6-6,3-1,11-5,118.3,110.7,+7.6,W4,8-2
5,Atlanta Hawks,13,11,.542,7.5,7-5,6-6,3-2,9-6,117.3,119.0,-1.7,W6,7-3
6,Milwaukee Bucks,11,11,.500,8.5,8-4,3-7,4-3,9-10,113.2,112.4,+0.8,L2,7-3
7,Miami Heat,10,10,.500,8.5,5-4,5-6,3-1,7-7,111.3,109.0,+2.3,W1,6-4
8,Brooklyn Nets,10,13,.435,10,5-5,5-8,0-5,4-12,110.0,113.7,-3.7,W1,5-5
9,Indiana Pacers,10,14,.417,10.5,7-3,3-11,2-2,7-11,114.2,118.4,-4.2,W1,4-6
10,Chicago Bulls,10,14,.417,10.5,3-8,7-6,2-4,8-7,119.9,123.6,-3.7,L1,5-5
11,Detroit Pistons,9,15,.375,11.5,4-7,5-8,1-5,8-13,110.1,113.1,-3.0,L3,3-7
12,Toronto Raptors,7,16,.304,13,6-5,1-11,1-1,4-8,112.3,117.0,-4.7,L1,5-5
13,Philadelphia 76ers,6,15,.286,13,3-8,3-7,1-2,6-8,105.0,110.6,-5.6,W1,4-6
14,Charlotte Hornets,6,16,.273,13.5,5-8,1-8,0-6,5-15,107.0,112.6,-5.6,L7,1-9
15,Washington Wizards,2,18,.100,16.5,1-9,1-9,2-3,2-12,106.7,123.6,-16.9,L16,0-10

Western Conference
1,Oklahoma City Thunder,20,3,.870,-,13-1,7-2,5-0,15-3,122.0,111.4,+10.6,W3,7-3
2,Houston Rockets,19,4,.826,1,10-2,9-2,4-0,17-3,120.1,110.0,+10.1,W3,9-1
3,Dallas Mavericks,16,9,.640,5,9-0,7-9,4-0,13-5,107.3,103.0,+4.3,L1,7-3
4,Memphis Grizzlies,14,8,.636,5.5,8-2,6-6,3-1,11-5,118.3,110.7,+7.6,W4,8-2
5,Golden State Warriors,13,11,.542,7.5,7-5,6-6,3-2,9-6,117.3,119.0,-1.7,W6,7-3
6,LA Clippers,11,11,.500,8.5,8-4,3-7,4-3,9-10,113.2,112.4,+0.8,L2,7-3
7,Phoenix Suns,10,10,.500,8.5,5-4,5-6,3-1,7-7,111.3,109.0,+2.3,W1,6-4
8,Denver Nuggets,10,13,.435,10,5-5,5-8,0-5,4-12,110.0,113.7,-3.7,W1,5-5
9,Minnesota Timberwolves,10,14,.417,10.5,7-3,3-11,2-2,7-11,114.2,118.4,-4.2,W1,4-6
10,Los Angeles Lakers,10,14,.417,10.5,3-8,7-6,2-4,8-7,119.9,123.6,-3.7,L1,5-5
11,San Antonio Spurs,9,15,.375,11.5,4-7,5-8,1-5,8-13,110.1,113.1,-3.0,L3,3-7
12,Sacramento Kings,7,16,.304,13,6-5,1-11,1-1,4-8,112.3,117.0,-4.7,L1,5-5
13,Portland Trail Blazers,6,15,.286,13,3-8,3-7,1-2,6-8,105.0,110.6,-5.6,W1,4-6
14,Utah Jazz,6,16,.273,13.5,5-8,1-8,0-6,5-15,107.0,112.6,-5.6,L7,1-9
15,New Orleans Pelicans,2,18,.100,16.5,1-9,1-9,2-3,2-12,106.7,123.6,-16.9,L16,0-10

All
1,Cleveland Cavaliers,20,3,.870,-,13-1,7-2,5-0,15-3,122.0,111.4,+10.6,W3,7-3
2,Boston Celtics,19,4,.826,1,10-2,9-2,4-0,17-3,120.1,110.0,+10.1,W3,9-1
3,Oklahoma City Thunder,17,5,.773,2.5,9-2,8-3,4-1,13-5,115.5,103.5,+12.0,W2,7-3
4,Houston Rockets,15,8,.652,5,9-3,6-5,4-1,9-6,113.5,106.6,+6.9,L2,6-4
5,Dallas Mavericks,15,8,.652,5,8-3,7-5,4-1,10-6,118.9,111.2,+7.7,W6,9-1
6,Memphis Grizzlies,15,8,.652,5,11-3,4-5,1-2,7-5,121.1,113.1,+8.0,W1,8-2
7,Orlando Magic,16,9,.640,5,9-0,7-9,4-0,13-5,107.3,103.0,+4.3,L1,7-3
8,New York Knicks,14,8,.636,5.5,8-2,6-6,3-1,11-5,118.3,110.7,+7.6,W4,8-2
9,Golden State Warriors,13,9,.591,6.5,6-4,7-5,0-3,10-7,114.1,109.3,+4.8,L1,3-7
10,LA Clippers,14,10,.583,6.5,9-5,5-5,4-2,9-9,108.8,107.0,+1.8,L1,7-3
11,Phoenix Suns,12,9,.571,7,8-4,4-5,5-3,10-6,113.2,113.5,-0.3,L1,3-7
12,Denver Nuggets,11,9,.550,7.5,6-4,5-5,3-2,7-7,117.9,116.8,+1.0,L1,4-6
13,Minnesota Timberwolves,12,10,.545,7.5,7-4,5-6,2-2,9-7,110.7,106.6,+4.1,W4,6-4
14,Atlanta Hawks,13,11,.542,7.5,7-5,6-6,3-2,9-6,117.3,119.0,-1.7,W6,7-3
15,Los Angeles Lakers,12,11,.522,8,7-3,5-8,2-2,9-6,112.3,116.5,-4.2,L3,3-7
16,Milwaukee Bucks,11,11,.500,8.5,8-4,3-7,4-3,9-10,113.2,112.4,+0.8,L2,7-3
17,Miami Heat,10,10,.500,8.5,5-4,5-6,3-1,7-7,111.3,109.0,+2.3,W1,6-4
18,San Antonio Spurs,11,12,.478,9,8-6,3-6,1-4,10-11,111.0,113.0,-2.0,L3,5-5
19,Sacramento Kings,11,13,.458,9.5,5-7,6-6,2-3,8-10,115.4,113.9,+1.5,W1,3-7
20,Brooklyn Nets,10,13,.435,10,5-5,5-8,0-5,4-12,110.0,113.7,-3.7,W1,5-5
21,Indiana Pacers,10,14,.417,10.5,7-3,3-11,2-2,7-11,114.2,118.4,-4.2,W1,4-6
22,Chicago Bulls,10,14,.417,10.5,3-8,7-6,2-4,8-7,119.9,123.6,-3.7,L1,5-5
23,Detroit Pistons,9,15,.375,11.5,4-7,5-8,1-5,8-13,110.1,113.1,-3.0,L3,3-7
24,Portland Trail Blazers,8,15,.348,12,5-6,3-9,2-4,7-14,106.8,116.4,-9.6,L3,3-7
25,Toronto Raptors,7,16,.304,13,6-5,1-11,1-1,4-8,112.3,117.0,-4.7,L1,5-5
26,Philadelphia 76ers,6,15,.286,13,3-8,3-7,1-2,6-8,105.0,110.6,-5.6,W1,4-6
27,Charlotte Hornets,6,16,.273,13.5,5-8,1-8,0-6,5-15,107.0,112.6,-5.6,L7,1-9
28,Utah Jazz,5,17,.227,14.5,2-9,3-8,1-3,3-16,109.7,117.7,-8.0,W1,2-8
29,New Orleans Pelicans,5,18,.217,15,4-7,1-11,0-2,3-9,104.3,116.4,-12.1,W1,1-9
30,Washington Wizards,2,18,.100,16.5,1-9,1-9,2-3,2-12,106.7,123.6,-16.9,L16,0-10

