Predicted
1,THUNDER,59.9,20.1,3.0,-7.8,10.8,99.5,81.5,60.9,39.7,26.8
2,CELTICS,61.5,20.5,6.4,-3.2,9.6,100.0,87.1,61.6,41.1,23.7
3,MAVERICKS,53.3,26.7,4.8,-2.7,7.5,96.5,64.0,36.0,18.3,9.9
4,CAVALIERS,59.3,22.8,5.1,-2.1,7.2,99.9,81.3,47.1,20.4,8.9
5,KNICKS,51.9,28.1,7.0,0.5,6.5,97.8,67.4,35.1,17.5,6.8
6,MAGIC,51.0,29.1,-3.5,-8.6,5.1,98.3,63.1,27.5,11.8,4.9
7,GRIZZLIES,51.8,30.2,1.9,-4.7,6.6,87.9,51.7,25.6,10.8,4.8
8,TIMBERWOLVES,48.2,33.8,-2.1,-6.6,4.5,77.1,38.2,15.4,6.3,3.0
9,ROCKETS,50.4,29.6,-1.3,-6.7,5.3,91.3,47.8,18.4,8.3,2.5
10,NUGGETS,47.4,34.6,3.5,0.5,3.1,71.9,25.9,10.9,4.5,2.1
11,CLIPPERS,46.3,34.7,-1.7,-4.6,3.0,69.9,26.6,10.7,4.5,2.0
12,WARRIORS,47.4,32.6,-1.4,-4.8,3.5,80.1,32.7,12.7,5.1,1.8
13,HEAT,45.6,36.4,0.2,-2.9,3.1,85.7,34.6,11.8,4.7,1.6
14,SUNS,44.1,38.0,1.3,-0.3,1.6,57.7,17.1,5.4,1.9,0.8
15,BUCKS,41.7,38.3,1.1,0.1,1.0,76.5,22.6,6.1,2.0,0.2
16,HAWKS,40.2,39.8,-1.8,-1.7,-0.1,68.8,16.8,4.4,0.8,0.1
17,BULLS,37.7,44.3,2.7,4.4,-1.7,49.8,10.5,2.4,0.7,0.1
18,RAPTORS,34.4,47.6,-1.9,-0.5,-1.4,31.8,6.0,2.0,0.4,0.0
19,KINGS,39.4,42.6,1.4,2.2,-0.8,30.7,6.6,1.6,0.3,0.0
20,NETS,34.8,47.2,-1.5,2.6,-4.1,33.4,4.1,0.8,0.3,0.0
21,SPURS,38.0,44.0,-2.6,-1.6,-1.0,25.3,6.3,1.8,0.2,0.0
22,76ERS,30.7,51.3,-3.3,1.0,-4.3,15.6,2.0,0.4,0.2,0.0
23,HORNETS,30.6,51.4,-4.8,-0.5,-4.3,15.2,1.9,0.5,0.1,0.0
24,LAKERS,31.2,50.8,-2.2,5.3,-7.4,3.7,0.4,0.2,0.1,0.0
25,TRAIL BLAZERS,30.8,51.2,-2.3,3.0,-5.3,7.8,1.2,0.4,0.0,0.0
26,PISTONS,31.4,50.6,-3.2,1.3,-4.5,15.2,1.9,0.2,0.0,0.0
27,PACERS,29.9,52.1,-2.1,5.1,-7.1,12.0,0.7,0.1,0.0,0.0
28,JAZZ,22.7,59.3,-3.2,5.8,-9.1,0.6,0.0,0.0,0.0,0.0
29,PELICANS,16.8,64.3,-10.3,3.0,-13.3,0.0,0.0,0.0,0.0,0.0
30,WIZARDS,12.9,69.1,-10.8,4.9,-15.7,0.0,0.0,0.0,0.0,0.0

