Predicted
1,CHIEFS,AFC WEST,13.9,3.0,100.0,94.6,46.7,28.0,17.5
2,LIONS,NFC NORTH,14.1,2.9,100.0,87.8,45.2,27.5,15.0
3,EAGLES,NFC EAST,13.6,3.4,100.0,98.2,42.0,24.9,12.9
4,BILLS,AFC EAST,13.0,4.0,100.0,100.0,36.6,18.4,9.5
5,CHARGERS,AFC WEST,11.2,5.8,91.5,5.1,23.1,11.7,5.7
6,TEXANS,AFC SOUTH,10.5,6.5,98.8,97.6,29.6,13.8,5.3
7,VIKINGS,NFC NORTH,12.5,4.5,89.0,12.2,23.2,9.4,4.7
8,RAVENS,AFC NORTH,10.6,6.4,95.8,29.9,25.8,12.0,4.6
9,STEELERS,AFC NORTH,11.4,5.6,98.8,70.1,21.3,9.5,4.6
10,SEAHAWKS,NFC WEST,9.6,7.4,56.5,48.3,14.4,7.4,3.9
11,PACKERS,NFC NORTH,11.2,5.8,81.8,0.0,18.0,7.7,3.2
12,FALCONS,NFC SOUTH,9.0,7.9,75.1,71.8,16.9,6.5,2.6
13,COMMANDERS,NFC EAST,10.2,6.7,84.5,1.8,17.5,6.7,2.3
14,BRONCOS,AFC WEST,9.9,7.1,66.4,0.3,10.2,3.7,2.1
15,COLTS,AFC SOUTH,8.4,8.6,39.2,2.4,5.7,2.6,1.6
16,CARDINALS,NFC WEST,8.6,8.4,32.6,27.2,7.6,4.1,1.5
17,RAMS,NFC WEST,8.3,8.7,23.8,18.7,5.5,2.2,1.2
18,BUCCANEERS,NFC SOUTH,8.7,8.2,44.0,26.7,6.9,2.5,1.1
19,49ERS,NFC WEST,7.8,9.2,10.2,6.6,2.4,0.9,0.7
20,BEARS,NFC NORTH,6.2,10.8,0.0,0.0,0.0,0.0,0.0
21,BENGALS,AFC NORTH,6.9,10.1,3.2,0.0,0.3,0.0,0.0
22,BROWNS,AFC NORTH,4.9,12.0,0.0,0.0,0.0,0.0,0.0
23,COWBOYS,NFC EAST,6.4,10.6,1.5,0.0,0.0,0.0,0.0
24,DOLPHINS,AFC EAST,7.0,9.9,5.7,0.0,0.7,0.3,0.0
25,GIANTS,NFC EAST,3.2,13.8,0.0,0.0,0.0,0.0,0.0
26,JAGUARS,AFC SOUTH,4.8,12.2,0.0,0.0,0.0,0.0,0.0
27,JETS,AFC EAST,5.6,11.3,0.3,0.0,0.0,0.0,0.0
28,PANTHERS,NFC SOUTH,4.9,12.1,0.3,0.3,0.1,0.0,0.0
29,PATRIOTS,AFC EAST,4.3,12.6,0.0,0.0,0.0,0.0,0.0
30,RAIDERS,AFC WEST,3.7,13.3,0.0,0.0,0.0,0.0,0.0
31,SAINTS,NFC SOUTH,6.4,10.6,1.5,1.2,0.3,0.2,0.0
32,TITANS,AFC SOUTH,4.7,12.3,0.3,0.0,0.0,0.0,0.0

